post_id,ticker,posted_at,title,label,note
005380_150357589424924,005380,2025-07-15 00:28:23,"곧, 달러와 금,은이 동시에  대폭락하는 이유 .",,
005930_150357589426737,005930,2025-07-15 11:36:25,우리나라도 계단식 상승파동이?,,
005930_150357589434074,005930,2025-07-17 11:05:07,국민노후로 5만원 하단에 졸라쳐팔고 오늘 쳐사는 연기금눈먼돈,,
005930_150357589453758,005930,2025-07-27 22:24:51,삼성전자: 엔비디아 14조원 수주 예상 -->매수 적기,,
005930_150357589463802,005930,2025-07-31 11:16:11,특례상장은 국민들 갈취하는거니 국민들 생활수준이 좋아질수가 없지비,,
005930_150357589464916,005930,2025-07-31 19:47:52,시장을 외국수준처럼 못맞추는 정부~!,,
000660_150357589476912,000660,2025-08-06 10:17:08,■ [신규상장] 대한조선 + 프로티나 + 엔알비  / 초저평가,,
005930_150357589477164,005930,2025-08-06 11:16:27,■ [신규상장] 대한조선 + 프로티나 + 엔알비  / 초저평가,,
005930_150357589478015,005930,2025-08-06 21:44:35,마국이 달에 원전을 건설한다는데,,
005930_150357589479019,005930,2025-08-07 11:02:17,새로운 반도체,,
005930_150357589491296,005930,2025-08-12 13:32:52,개똥전자 텍사스농장 발주~!,,
005930_150357589501193,005930,2025-08-14 10:11:48,하이닉스 삼성전자 강력매수오늘 지수..65포인트 급등함.,,
005930_150357589509875,005930,2025-08-19 14:50:24,"대박) 삼성전자, 엔비디아 HBM3E 공급 확정 ->급등 호재",,
005930_150357589513529,005930,2025-08-21 13:01:45,닭들의 수난시대~!,,
005930_150357589514087,005930,2025-08-21 21:04:13,증세는 = 부동산 = 보유세를 높이면 됩니다 = 자본 시장에서 = 세수 확대하지 마시고,,
005930_150357589514844,005930,2025-08-22 10:17:38,오케이..오늘 종합지수 무난하게 3200돌파시키고..다음주..3350까지 달린다..커커커,,
005930_150357589522803,005930,2025-08-27 00:41:54,속보) 삼성전자: 엔비디아 보낸 HBM4 샘플 합격 -->대박호재,,
005930_150357589523921,005930,2025-08-27 11:52:35,과거엔 목표수량을 채우기도 전에 오지게 반등 가던데 요즘은,,
005930_150357589529675,005930,2025-08-29 14:04:11,속보) 삼성전자: 엔비디아 보낸 HBM4 샘플 합격 -->대박호재,,
005930_150357589531981,005930,2025-09-01 10:37:24,코스피..낙폭한자릿수로 축소.오후엔..프러스전환..될것임...수출호조.,,
005930_150357589532134,005930,2025-09-01 11:19:20,종합주가,,
005930_150357589532618,005930,2025-09-01 14:17:28,오케바뤼..조금전 지수 바닥침..이제 계속 우상향..급등패턴으로 진행됨. 커커커,,
005930_150357589538674,005930,2025-09-04 11:42:35,★★★★★★<긴급-속보..대적중>...찍었다하면 대박...삼성전자 .하늘이 무너져도 당장 질러라,,
005380_150357589547375,005380,2025-09-08 15:06:16,셰셰가짜정권이 만일 사법개혁을 한다면 즉시 셰셰재판속개!,,
005930_150357589549566,005930,2025-09-09 14:09:12,내일장...42포인트 급등마감된다..미리말해줬다..,,
005930_150357589573829,005930,2025-09-15 14:56:29,삼성전자 주가 전망과 대응 방법,,
005930_150357589575137,005930,2025-09-16 04:52:02,수고했다 = 조방원 = = 큰 일을 했구나 = 3500이네 = 이제 = 나머진 = 반바지가 = 해 주길,,
005930_150357589590141,005930,2025-09-21 10:31:30,미국의 신노예 제도 가동에 무엇을 주는고?,,
005380_150357589595620,005380,2025-09-24 00:06:56,"부의 창조,Hidden 스토리:아이를 평생 주식부자로 키우는 투자법 .",,
005930_150357589599006,005930,2025-09-25 12:12:09,환율..1399  원...1400원 아래로 내려온다..커커커,,
005930_150357589604651,005930,2025-09-29 09:40:36,반도체매수 사이클이지,,
005930_150357589607601,005930,2025-09-30 14:18:12,시장이 왜케 재수가 없노?,,
000660_150357589611781,000660,2025-10-02 11:43:21,SK하이닉스 주가 전망과 대응 방법,,
005930_150357589617784,005930,2025-10-09 22:16:50,뜬금없이 중동전쟁지역으로 목숨걸고 놀러가기?,,
005930_150357589618172,005930,2025-10-10 08:57:46,시초가에 삼성젅자 하이닉스 풀베팅각..,,
005930_150357589620677,005930,2025-10-11 18:31:49,윤석열이 노벨평화상 받아야한다는 수십면투야 미쳤냐?,,
005930_150357589622253,005930,2025-10-13 08:12:54,오케이.??? 트럼프.중국관세철회..커커커..역시..,,
005930_150357589624533,005930,2025-10-13 14:05:15,"[속보] “中, 내달 8일부터 인조 다이아몬드 수출통제” ~ 독점적 일진다이아",,
005930_150357589624842,005930,2025-10-13 14:41:40,지수  급반등하고..환율 떡락하고..완벽하게 급등패턴,,
005930_150357589625036,005930,2025-10-13 15:10:28,내일..아침.장시작 폭등으로 시작한다..미리알려줬다 빚을내서라도 매수해라,,
005930_150357589625394,005930,2025-10-13 16:57:24,"◆ 속보)삼성전자, 엔비디아 HBM3E 납품 확정: 20% 폭등 가능",,
005380_150357589633243,005380,2025-10-16 10:38:07,■ 시총 220억 [극단적 초저평가]  일정실업 = 현대차 + 기아차 [ 헷지 ],,
005380_150357589633321,005380,2025-10-16 10:57:13,현대차 주가 전망과 대응 방법,,
